Price~Bedrooms~Bathrooms~Size~Street Address~Neighborhood~Borough
$2,500/mo~3bd~1ba~1,100 sqft~133 Lott St #2B~Flatbush~ Brooklyn, NY
$1,350/mo~Studio~1ba~~1414 E 12th St #4O~Midwood~ Brooklyn, NY
$2,400/mo~3bd~1ba~~930 De Kalb Ave #107~Bushwick~ Brooklyn, NY
$2,600/mo~3bd~1ba~1,300 sqft~Address Not Disclosed~Marine Park~ Brooklyn, NY
$2,399/mo~3bd~1ba~~666 Ocean Ave #D4~Flatbush~ Brooklyn, NY
$1,375/mo~Studio~1ba~400 sqft~1350 New York Ave #2E~Flatbush~ Brooklyn, NY
$2,999/mo~4bd~1.5ba~~1444 Pacific St #1L~Crown Heights~ Brooklyn, NY
$2,635/mo~4bd~1.5ba~~239 Kingston Ave #2~Crown Heights~ Brooklyn, NY
$4,900/mo~4bd~1ba~1,250 sqft~116 Garfield Pl #2~Park Slope~ Brooklyn, NY
$2,000/mo~2bd~1ba~~732 Saint Marks Ave #4G~Crown Heights~ Brooklyn, NY
$2,200/mo~3bd~1ba~900 sqft~1844 80th St #2F~Bensonhurst~ Brooklyn, NY
$2,350/mo~3bd~1ba~900 sqft~2067 W 7th St #2F~Gravesend~ Brooklyn, NY
$1,500/mo~1bd~1ba~570 sqft~8201 4th Ave #1C~Bay Ridge~ Brooklyn, NY
$1,700/mo~1bd~1ba~~352 Thomas S Boyland St #3F~Ocean Hill~ Brooklyn, NY
$1,600/mo~1bd~1ba~~3405 Newkirk Ave #2D~East Flatbush~ Brooklyn, NY
$1,650/mo~1bd~1ba~~1070 Oceanview Ave #3H~Brighton Beach~ Brooklyn, NY
$2,050/mo~1bd~1ba~~141 17th St #2~Greenwood~ Brooklyn, NY
$1,799/mo~1bd~1ba~~751 Hart St #3D~Bushwick~ Brooklyn, NY
$1,500/mo~1bd~1ba~~7212 4th Ave #B4~Bay Ridge~ Brooklyn, NY
$2,895/mo~1bd~1ba~750 sqft~71 Pineapple St #B1~Brooklyn Heights~ Brooklyn, NY
$2,100/mo~2bd~1ba~~659 Bushwick Ave #1B~Bushwick~ Brooklyn, NY
$2,100/mo~2bd~1ba~~1180 Bushwick Ave #4BB~Bushwick~ Brooklyn, NY
$2,400/mo~3bd~2ba~800 sqft~907 Gates Ave #3~Bedford Stuyvesant~ Brooklyn, NY
$1,399/mo~1bd~1ba~500 sqft~1315 W 7th St #D10~Bensonhurst~ Brooklyn, NY
$1,525/mo~1bd~1ba~750 sqft~1408 Sterling Pl #12~Crown Heights~ Brooklyn, NY
$1,700/mo~1bd~1ba~600 sqft~345A Bleecker St #4B~Bushwick~ Brooklyn, NY
$1,950/mo~2bd~1ba~~2421 Dean St #2~Ocean Hill~ Brooklyn, NY
$1,675/mo~Studio~1ba~~434 Classon Ave #2A~Clinton Hill~ Brooklyn, NY
$2,300/mo~3bd~2ba~900 sqft~1026 Broadway #3~Bedford Stuyvesant~ Brooklyn, NY
$4,087/mo~3bd~1ba~~248 McKibben St #17DX~Williamsburg~ Brooklyn, NY
$2,100/mo~3bd~1ba~1,300 sqft~914 79th St #A1~Dyker Heights~ Brooklyn, NY
$1,599/mo~1bd~1ba~825 sqft~1440 Ocean Pkwy #1G~Ocean Parkway~ Brooklyn, NY
$1,749/mo~1bd~1ba~900 sqft~170 Hawthorne St #2M~Prospect Lefferts Gardens~ Brooklyn, NY
